what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646714985605
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1646715019251
error,log,,,"Could not retrieve interfaces",1646715019313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715020736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715043158
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646715043173
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646715106046
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1646715116008
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1646715116040
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1646715116042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646715116143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715131850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715131984
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646715143111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715143145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715149193
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646715149712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715153988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715215901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646715228308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715234652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715235886
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646715245669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715245692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715249989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646715259452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715270379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715271340
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646715284438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715298146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715537737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646715540071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715550058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715772377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715777085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646715817660
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646715822271
