what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.external.javadoc",1646824710876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646824710897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646824731090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646824739028
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1646824773036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646824778525
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1646824810392
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1646824810412
opened,view,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui.HelpView",1646824810620
activated,view,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui.HelpView",1646824810842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.helpSearch",1646824811031
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1646824834140
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1646824834190
started,bundle,org.eclipse.equinox.http.registry,1.1.1.R36x_v20101103,"org.eclipse.equinox.http.registry",1646824834309
started,bundle,org.eclipse.help.webapp,3.5.3.r36_20101130,"org.eclipse.help.webapp",1646824834497
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646824849695
closed,view,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui.HelpView",1646824849726
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1646824869243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1646824872076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646824886624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646824917708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646824975936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825170348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825237945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825261447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825273962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825299318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825337054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825500267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1646825519397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825554884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825657628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825674019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825697251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825699703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825699927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825747954
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1646825748029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825756895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825769554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825789862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825828580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646825947071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826021235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826086035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826106223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826106464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826218921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826304303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646826324727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826334976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826379319
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1646826382914
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826384575
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826384616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826429520
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826429520
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826433917
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826433954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826464159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826518291
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826520222
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826520222
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826535007
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826535038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826544269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826546928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826557961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826675437
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826677846
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826677846
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826686456
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826686475
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826689116
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826689116
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826696104
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826696121
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826699035
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826699036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826702349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826722059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826739587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826808597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826811074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826811678
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826814588
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826814602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826821108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826883191
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826884530
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826884531
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826918852
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646826918868
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1646826918880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826940052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826946719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826947056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826951162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826963760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826973637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826977193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646826989509
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646826991695
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646827002483
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1646827002494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646827012660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646827023288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646827053760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646827189746
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646827194357
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646827196646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646827199059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646827199765
