what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1647198745523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198747439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198747575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1647198760302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1647198771194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198791306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198791507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1647198797431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1647198802318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1647198807830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198816775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198816990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198820198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198820367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198840821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647198842360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647198864057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1647198901785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647198959592
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1647198963751
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1647198967346
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647198983138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647198988112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647199011295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647199011520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647199017579
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1647199023912
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1647199027760
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647199038749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1647199072954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1647199089908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647199107390
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1647199112462
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1647199112800
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647199114097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647199128956
