what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1646855942711
os,sysinfo,,,"win32",1646855942711
arch,sysinfo,,,"x86_64",1646855942711
ws,sysinfo,,,"win32",1646855942711
locale,sysinfo,,,"en_US",1646855942711
processors,sysinfo,,,"8",1646855942711
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1646855942711
java.runtime.version,sysinfo,,,"1.8.0_221-b11",1646855942711
java.specification.name,sysinfo,,,"Java Platform API Specification",1646855942711
java.specification.vendor,sysinfo,,,"Oracle Corporation",1646855942711
java.specification.version,sysinfo,,,"1.8",1646855942711
java.vendor,sysinfo,,,"Oracle Corporation",1646855942711
java.version,sysinfo,,,"1.8.0_221",1646855942711
java.vm.info,sysinfo,,,"mixed mode",1646855942711
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1646855942711
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1646855942711
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1646855942711
java.vm.specification.version,sysinfo,,,"1.8",1646855942711
java.vm.vendor,sysinfo,,,"Oracle Corporation",1646855942711
java.vm.version,sysinfo,,,"25.221-b11",1646855942711
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1646855943551
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1646855943566
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1646855943582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646855959417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646855972798
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1646855975380
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1646855976045
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1646855976104
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646855976150
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646855976187
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1646855976776
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1646855988881
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1646855990502
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1646855990587
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1646855990618
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1646856017712
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1646856017712
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1646856017712
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1646856017712
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1646856023258
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1646856023273
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1646856023280
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1646856023296
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1646856023296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646856023494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856026157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856026321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646856038401
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646856049897
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646856050817
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646856050949
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646856056615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646856094607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856097284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856097484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646856129957
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1646856138070
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1646856138070
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1646856142015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856145248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856162855
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1646856162871
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1646856162905
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1646856162921
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646856162941
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646856162972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856187048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856190578
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1646856190642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856207618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856209572
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1646856209619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646856239212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646856251258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856252962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856253131
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1646856257951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856281670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856281839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646856295590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1646856303413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1646856305936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646856310337
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646856314387
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646856314846
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646856321651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646856338776
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646856343248
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646856343661
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646856344908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856355593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646856357869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646856360976
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1646856364989
