what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1646996199600
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1646996199601
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1646996199601
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1646996199603
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1646996199604
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1646996199605
os,sysinfo,,,"win32",1646996199610
arch,sysinfo,,,"x86_64",1646996199610
ws,sysinfo,,,"win32",1646996199610
locale,sysinfo,,,"en_US",1646996199610
processors,sysinfo,,,"8",1646996199610
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1646996199610
java.runtime.version,sysinfo,,,"1.8.0_221-b11",1646996199610
java.specification.name,sysinfo,,,"Java Platform API Specification",1646996199610
java.specification.vendor,sysinfo,,,"Oracle Corporation",1646996199610
java.specification.version,sysinfo,,,"1.8",1646996199610
java.vendor,sysinfo,,,"Oracle Corporation",1646996199610
java.version,sysinfo,,,"1.8.0_221",1646996199610
java.vm.info,sysinfo,,,"mixed mode",1646996199610
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1646996199610
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1646996199610
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1646996199610
java.vm.specification.version,sysinfo,,,"1.8",1646996199610
java.vm.vendor,sysinfo,,,"Oracle Corporation",1646996199610
java.vm.version,sysinfo,,,"25.221-b11",1646996199610
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1646996202427
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1646996202444
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1646996202449
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1646996202465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646996228026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646996266579
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1646996269613
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646996270596
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646996270813
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646996270832
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646996276737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1646996277890
