what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917661726
failed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1646917661726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917670290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917675369
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1646917675385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917688312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917692644
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1646917692666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917711819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917711993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646917719442
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646917724636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646917749296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646917764502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917774361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917774494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917853721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917853868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646917871798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646917876639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646917880921
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646917886041
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646917886384
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646917896901
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646917896917
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1646917899579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917905869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917913189
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646917913254
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646917913272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917972955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917977256
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1646917977278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917984074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646917988577
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1646917988596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918000142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918004216
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1646918004238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918009422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918012096
error,log,,,"Could not retrieve interfaces",1646918012113
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1646918012113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918025972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918026094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646918041023
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646918044185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646918065476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918067470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1646918070979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1646918074956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1646918077364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1646918096787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1646918099764
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1646918105724
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646918106046
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1646918106078
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1646918112308
